,meta-llama/Meta-Llama-3.1-8B,google/gemma-2-2b,Qwen/Qwen2.5-3B
0,0.75%,0.75%,0.75%
1,"91%
T","92%
T","91%
T"
2,"92%
T","92%
T","92%
T"
3,0.75%,0.75%,0.75%
4,"91%
A","92%
A","91%
A"
5,"92%
A","92%
A","92%
A"
6,0.75%,0.75%,0.75%
7,"91%
O","92%
O","91%
T"
8,"92%
O","92%
O","92%
O"
9,2018/,2018/,2020/
10,"91%

","91%

","91%

"
11,"91%
2","92%
2","91%
2"
12,91.1%,80.5%,92.6%
13,"91%
T","91%
T","92%
T"
14,"91%
T","91%
T","92%
T"
15,88 pe,"85%.
",86.6%
16,"91%
A","91%
A","92%
A"
17,"91%
A","91%
A","92%
A"
18,"85%
P","85%

",92.6%
19,"93%
P","91%
P","92%
P"
20,"91%
P","91%
P","91%
P"
21,2018/,2018/,2020/
22,"92%

","91%

","92%

"
23,"91%
2","91%
2","92%
2"
24,4.5 t,"10.1,",1.6 t
25,33.72,33.72,33.66
26,27.87,28.11,28.66
27,"4.3, ","10.5,","10.7,"
28,33.72,33.72,33.66
29,27.87,28.11,26.66
30,"4.4
N","1.1

","1.1
N"
31,33.72,33.72,33.72
32,27.78,28.11,28.66
33,2016/,2016/,2016/
34,33.72,33.72,33.72
35,27.78,25.11,28.66
36,"1, 00","1,000","1,000"
37,"7,299","7,299","7,299"
38,"7,265","7,299","7,266"
39,"1, 00","1,000","1,000"
40,"7,299","7,299","7,299"
41,"7,265","7,299","7,299"
42,"1, 2,","1,000","1,000"
43,"7,000","7,299","7,299"
44,"7,000","7,195","7,299"
45,1 yea,1 yea,12000
46,"7,299","7,299","7,299"
47,"7,265","7,299","7,299"
48,0.000,10.5 ,1.00.
49,"6
The","10
Th","1
The"
50,"6
The","6
The","6
The"
51,0.000,10.5 ,1.00.
52,"6
Acc","10
Ac","1
Acc"
53,"6
Acc","6
Acc","6
Acc"
54,"2013
",1990-,10000
55,"6
Num","1
Num","12
Nu"
56,"6
Num","6
Num","6
Num"
57,"1930
","1870,",1960s
58,"6

Su","7

To","6

To"
59,"6
Wes","6
Tol","6
Tun"
60,112.4,100.0,100.0
61,95.42,95.42,95.42
62,95.42,95.53,95.42
63,112.7,100.0,100.0
64,95.42,95.42,95.42
65,95.42,95.53,95.54
66,2018-,100.0,100.0
67,95.42,95.42,95.42
68,95.42,95.53,95.54
69,11:00,10:00,11:00
70,95.42,95.42,95.42
71,95.42,95.42,95.42
